,minimum,maximum
T_O2tm__mitmem,-1000.0,1000.0
R00658__cytop,-1000.0,999.9999999999995
R00243__mito,-1000.0,1000.0
R01976__cytop,-1000.0,1000.0
R00010__cytop,-999.9999999999999,999.9999999999999
T_PYDXNth__chlomem,-1000.0000000000001,1000.0000000000001
R01171__cytop,-1000.0,1000.0
R02283__cytop,-999.9999999999991,999.9999999999999
R03373__cytop,-1000.0,1000.0
R03238__chlo,-1000.0,1000.0
R01773__chlo,-1000.0,1000.0
R10170__mito,-1000.0,1000.0
R11099__cytop,-1000.0000000000001,1000.0000000000001
R01166__cytop,-1000.0,1000.0
R03635__extr,-1000.0,1000.0
R00585__pero,-1000.0000000000001,1000.0000000000001
TR0000021_plasmem__plasmem,-1000.0,1000.0
R01547__cytop,-1000.0000000000001,1000.0000000000001
R01827__extr,-1000.0,1000.0
R05799__cytop,-1000.0,1000.0
TR2900080_mitmem__mitmem,-1000.0,1000.0
TR2000393_chlomem__chlomem,-1000.0,1000.0000000000005
TZ2900063_plasmem__plasmem,-500.00000000000045,500.0
R01708__chlo,-1000.0,1000.0
R11220__mito,-1000.0,1000.0
TZ2900058_plasmem__plasmem,-1000.0,1000.0
TR0011574_plasmem__plasmem,-1000.0,1000.0
R08639__cytop,-1000.0,1000.0
R01775__cytop,-1000.0,1000.0
R11384__cytop,-1000.0,1000.0
R02484__cytop,-1000.0,1000.0
TR2900006_mitmem__mitmem,-1000.0,1000.0
TR2000128_mitmem__mitmem,-1000.0,1000.0
R01965__chlo,-1000.0,1000.0
R10092__cytop,-1000.0,1000.0
R01093__cytop,-1000.0,1000.0
R03045__cytop,-999.9999999999999,999.9999999999999
R11218__extr,-1000.0,1000.0
TR2900007_mitmem__mitmem,-1000.0,1000.0
R10395__cytop,-1000.0000000000001,1000.0000000000001
TR6900007_plasmem__plasmem,-1000.0,1000.0
T_NADPtr__ermem,-1000.0,1000.0000000000002
R09477__cytop,-1000.0,1000.0
R01827__cytop,-1000.0,1000.0
TR2015541_mitmem__mitmem,-1000.0,1000.0
R03059__extr,-1000.0000000000002,1000.0
R12118__cytop,-999.9999999999999,999.9999999999999
R00299__cytop,-1000.0,1000.0
R10790__extr,-1000.0,1000.0
R02235__cytop,-1000.0,1000.0
T_O2th__chlomem,-250.0000000000001,249.99999999999918
R02566__extr,-1000.0,1000.0
R00937__cytop,-1000.0,1000.0
T_NADPHtr__ermem,-1000.0,1000.0
R08945__cytop,-1000.0,1000.0
R11383__cytop,-1000.0,1000.0
R01244__cytop,-1000.0,1000.0000000000006
R00764__cytop,-1000.0,1000.0
R12119__cytop,-1000.0,999.9999999999999
R00959__cytop,-1000.0,1000.0
TR2400002_mitmem__mitmem,-1000.0,999.9999999999998
TR2900058_mitmem__mitmem,-1000.0,1000.0
R00921__cytop,-1000.0,1000.0000000000001
R01101__cytop,-1000.0,1000.0
R01139__cytop,-1000.0,1000.0
R10953__cytop,-1000.0,1000.0
R01324__cytop,-1000.0,1000.0
TR0000268_plasmem__plasmem,-1000.0,1000.0
TR0000021_chlomem__chlomem,-1000.0,1000.0
R00028__cytop,-1000.0,1000.0
R01194__cytop,-1000.0,1000.0
R02850__chlo,-1000.0,1000.0
R00659__chlo,-1000.0,1000.0
TR2900012_chlomem__chlomem,-999.9999999999981,1000.0000000000234
R01359__mito,-1000.0000000000001,1000.000000000004
TZ2900007_plasmem__plasmem,-500.0000000000002,500.00000000000006
R00127__cytop,-1000.0,1000.0
TR0011684_plasmem__plasmem,-1000.0,1000.0
R01395__cytop,-1000.0,1000.0
R00585__cytop,-1000.0,1000.0
R03776__cytop,-1000.0000000000018,124.99999999999976
R12118__er,-1000.0000000000002,1000.0
R02737__cytop,-1000.0,1000.0
R10394__cytop,-1000.0,1000.0
R00891__cytop,-1000.0,1000.0
R01092__cytop,-1000.0,1000.0
TR2000009_mitmem__mitmem,-1000.0,1000.0
R01070__cytop,-1000.0,1000.0
R01140__chlo,-1000.0,1000.0
R02282__cytop,-1000.0,1000.0
TR0000009_plasmem__plasmem,-1000.0,1000.0
R00590__chlo,-1000.0,1000.0
R02739__cytop,-1000.0,1000.0
TR2918362_mitmem__mitmem,-1000.0,1000.0
R10396__cytop,-1000.0000000000001,1000.0
R03293__cytop,-1000.0000000000215,1000.0
R02566__er,-999.9999999999999,1000.0
R01251__cytop,-1000.0,999.9999999999998
TR2900055_mitmem__mitmem,-1000.0,1000.0
